DATE,DCOILWTICO
2004-10-01,53.2804761904761905
2004-11-01,48.4690000000000000
2004-12-01,43.1495238095238095
2005-01-01,46.8370000000000000
2005-02-01,48.1489473684210526
2005-03-01,54.1868181818181818
2005-04-01,52.9790476190476190
2005-05-01,49.8338095238095238
2005-06-01,56.3522727272727273
2005-07-01,58.9955000000000000
2005-08-01,64.9852173913043478
2005-09-01,65.5866666666666667
2005-10-01,62.2600000000000000
2005-11-01,58.3225000000000000
2005-12-01,59.4119047619047619
2006-01-01,65.4850000000000000
2006-02-01,61.6310526315789474
2006-03-01,62.6852173913043478
2006-04-01,69.4436842105263158
2006-05-01,70.8440909090909091
2006-06-01,70.9509090909090909
2006-07-01,74.4110526315789474
2006-08-01,73.0430434782608696
2006-09-01,63.7980000000000000
2006-10-01,58.8931818181818182
2006-11-01,59.0825000000000000
2006-12-01,61.9590000000000000
2007-01-01,54.5061904761904762
2007-02-01,59.2789473684210526
2007-03-01,60.4418181818181818
2007-04-01,63.9770000000000000
2007-05-01,63.4545454545454545
2007-06-01,67.4890476190476190
2007-07-01,74.1176190476190476
2007-08-01,72.3560869565217391
2007-09-01,79.9147368421052632
2007-10-01,85.7986956521739130
2007-11-01,94.7723809523809524
2007-12-01,91.6870000000000000
2008-01-01,92.9704761904761905
2008-02-01,95.3860000000000000
2008-03-01,105.4540000000000000
2008-04-01,112.5804545454545455
2008-05-01,125.3976190476190476
2008-06-01,133.8800000000000000
2008-07-01,133.3709090909090909
2008-08-01,116.6661904761904762
2008-09-01,104.1142857142857143
2008-10-01,76.6086956521739130
2008-11-01,57.3094736842105263
2008-12-01,41.1218181818181818
2009-01-01,41.7100000000000000
2009-02-01,39.0873684210526316
2009-03-01,47.9390909090909091
2009-04-01,49.6466666666666667
2009-05-01,59.0285000000000000
2009-06-01,69.6409090909090909
2009-07-01,64.1522727272727273
2009-08-01,71.0447619047619048
2009-09-01,69.4080952380952381
2009-10-01,75.7154545454545455
2009-11-01,77.9900000000000000
2009-12-01,74.4700000000000000
2010-01-01,78.3257894736842105
2010-02-01,76.3873684210526316
2010-03-01,81.2034782608695652
2010-04-01,84.2928571428571429
2010-05-01,73.7435000000000000
2010-06-01,75.3359090909090909
2010-07-01,76.3195238095238095
2010-08-01,76.5990909090909091
2010-09-01,75.2419047619047619
2010-10-01,81.8928571428571429
2010-11-01,84.2528571428571429
2010-12-01,89.1459090909090909
2011-01-01,89.1705000000000000
2011-02-01,88.5784210526315789
2011-03-01,102.8565217391304348
2011-04-01,109.5325000000000000
2011-05-01,100.9004761904761905
2011-06-01,96.2640909090909091
2011-07-01,97.3035000000000000
2011-08-01,86.3330434782608696
2011-09-01,85.5152380952380952
2011-10-01,86.3223809523809524
2011-11-01,97.1604761904761905
2011-12-01,98.5628571428571429
2012-01-01,100.2735000000000000
2012-02-01,102.2040000000000000
2012-03-01,106.1577272727272727
2012-04-01,103.3210000000000000
2012-05-01,94.6545454545454545
2012-06-01,82.3033333333333333
2012-07-01,87.8952380952380952
2012-08-01,94.1313043478260870
2012-09-01,94.5136842105263158
2012-10-01,89.4913043478260870
2012-11-01,86.5314285714285714
