DATE,T5YIE
2004-10-01,2.3730000000000000
2004-11-01,2.6215000000000000
2004-12-01,2.6745454545454545
2005-01-01,2.5780000000000000
2005-02-01,2.6831578947368421
2005-03-01,2.8768181818181818
2005-04-01,2.7700000000000000
2005-05-01,2.5747619047619048
2005-06-01,2.3813636363636364
2005-07-01,2.3095000000000000
2005-08-01,2.4121739130434783
2005-09-01,2.6109523809523810
2005-10-01,2.6330000000000000
2005-11-01,2.4790000000000000
2005-12-01,2.3071428571428571
2006-01-01,2.4130000000000000
2006-02-01,2.5921052631578947
2006-03-01,2.6243478260869565
2006-04-01,2.6421052631578947
2006-05-01,2.6940909090909091
2006-06-01,2.6154545454545455
2006-07-01,2.5845000000000000
2006-08-01,2.5547826086956522
2006-09-01,2.2905000000000000
2006-10-01,2.1761904761904762
2006-11-01,2.1742857142857143
2006-12-01,2.2500000000000000
2007-01-01,2.2804761904761905
2007-02-01,2.3694736842105263
2007-03-01,2.4418181818181818
2007-04-01,2.4771428571428571
2007-05-01,2.3777272727272727
2007-06-01,2.3723809523809524
2007-07-01,2.2890476190476190
2007-08-01,2.0439130434782609
2007-09-01,2.0563157894736842
2007-10-01,2.1913636363636364
2007-11-01,2.3145000000000000
2007-12-01,2.2155000000000000
2008-01-01,2.1228571428571429
2008-02-01,2.1310000000000000
2008-03-01,2.2560000000000000
2008-04-01,2.2259090909090909
2008-05-01,2.3604761904761905
2008-06-01,2.5161904761904762
2008-07-01,2.4627272727272727
2008-08-01,1.9938095238095238
2008-09-01,1.3309523809523810
2008-10-01,-0.02772727272727272727
2008-11-01,-1.3988888888888889
2008-12-01,-0.24000000000000000000
2009-01-01,0.01150000000000000000
2009-02-01,0.58210526315789473684
2009-03-01,0.58863636363636363636
2009-04-01,0.74761904761904761905
2009-05-01,1.0630000000000000
2009-06-01,1.5259090909090909
2009-07-01,1.2840909090909091
2009-08-01,1.2814285714285714
2009-09-01,1.3433333333333333
2009-10-01,1.5004761904761905
2009-11-01,1.7463157894736842
2009-12-01,1.9086363636363636
2010-01-01,2.0663157894736842
2010-02-01,1.9478947368421053
2010-03-01,1.8717391304347826
2010-04-01,1.9609090909090909
2010-05-01,1.7705000000000000
2010-06-01,1.6518181818181818
2010-07-01,1.4223809523809524
2010-08-01,1.3363636363636364
2010-09-01,1.2790476190476190
2010-10-01,1.5070000000000000
2010-11-01,1.5555000000000000
2010-12-01,1.7295454545454545
2011-01-01,1.9305000000000000
2011-02-01,2.0110526315789474
2011-03-01,2.2017391304347826
2011-04-01,2.3115000000000000
2011-05-01,2.1776190476190476
2011-06-01,1.9554545454545455
2011-07-01,2.0320000000000000
2011-08-01,1.7691304347826087
2011-09-01,1.6157142857142857
2011-10-01,1.6960000000000000
2011-11-01,1.7610000000000000
2011-12-01,1.6695238095238095
2012-01-01,1.7570000000000000
2012-02-01,1.9455000000000000
2012-03-01,2.0459090909090909
2012-04-01,1.9523809523809524
2012-05-01,1.8850000000000000
2012-06-01,1.7590476190476190
2012-07-01,1.7671428571428571
2012-08-01,1.9060869565217391
2012-09-01,2.1394736842105263
2012-10-01,2.1742857142857143
2012-11-01,2.0480000000000000
2012-12-01,2.0955000000000000
2013-01-01,2.1909523809523810
2013-02-01,2.2336842105263158
2013-03-01,2.2460000000000000
2013-04-01,2.0904545454545455
2013-05-01,1.9818181818181818
2013-06-01,1.7930000000000000
2013-07-01,1.8577272727272727
2013-08-01,1.8531818181818182
2013-09-01,1.7675000000000000
2013-10-01,1.7772727272727273
2013-11-01,1.7531578947368421
2013-12-01,1.6695238095238095
2014-01-01,1.7380952380952381
2014-02-01,1.7742105263157895
2014-03-01,1.7771428571428571
2014-04-01,1.8085714285714286
